IPC-Section,Description,Offense,,,
82,Act of a child under seven years of age,"Sophie (6 years old): In an unintentional act, Sophie spills paint on a neighbor's property while playing, as she is exempt from legal consequences due to being under seven years of age.",,,
82,Act of a child under seven years of age,"James (5 years old): Accidentally breaks a neighbor's window with a ball while playing, demonstrating an act that falls under the exemption for children under seven in legal liability.",,,
82,Act of a child under seven years of age,"Emma (4 years old): Unintentionally damages a neighbor's garden while playing, engaging in an act exempt from legal consequences due to her age.",,,
82,Act of a child under seven years of age,"In a suburban neighborhood, during a community picnic, Sarah's toddler, Emma, innocently wandered away from the designated play area. Unaware of the consequences, Emma, who is under seven years of age, picked up a neighbor's phone from a picnic blanket, mistaking it for a toy. In her playful curiosity, Emma accidentally dropped the phone, causing it to break. The neighbor, understanding the situation, recognized that Emma was too young to comprehend the value of the device and approached Sarah with understanding rather than seeking any form of compensation.",,,
82,Act of a child under seven years of age,"During a family gathering, Mark's five-year-old son, Jake, unknowingly entered a neighbor's backyard where a small gardening event was taking place. In his exploration, Jake, fascinated by the colorful flowers, picked a few blossoms and unintentionally damaged a potted plant. The neighbor, recognizing Jake's age and innocence, approached Mark with understanding, and they resolved the situation amicably without pursuing any compensation for the minor damage.",,,
83,Act of a child above seven and under twelve of immature understanding,"Mark (Age 9): Accidentally damages a neighbor's bicycle while playing, demonstrating an act due to immature understanding.",,,
83,Act of a child above seven and under twelve of immature understanding,"Being under twelve, damages school property unintentionally, showcasing an act due to immature understanding.",,,
83,Act of a child above seven and under twelve of immature understanding,"Aged seven, unintentionally spills paint on a public bench, engaging in an act exempt from full legal consequences.",,,
83,Act of a child above seven and under twelve of immature understanding,"At a local bookstore, Emily, an eight-year-old with an immature understanding, unintentionally damaged a display of books while exploring the aisles. Emily, fascinated by a book on a high shelf, attempted to reach for it, accidentally knocking over several neighboring books in the process. ",,,
83,Act of a child above seven and under twelve of immature understanding,"Imagine an 11-year-old child, aware of the concept of ownership but not fully grasping the consequences of actions, takes a neighbor's bicycle for a joyride without asking for permission. Due to the child's immature understanding, the act is done without a clear comprehension of the potential harm or violation involved. In such a case, the legal system might consider the child's age and level of understanding, recognizing that the child's actions stem from an immature understanding rather than malicious intent.",,,
84," a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law."," Due to a temporary episode of severe mental illness, David, at the time, is incapable of understanding the nature of his actions when engaging in an unintended act.",,,
84," a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law.","Suffers from a momentary lapse of sanity, causing Sophie to be temporarily incapable of realizing that her actions are wrong or contrary to the law during a specific incident.",,,
84," a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law.","Experiences a bout of mental incapacity, rendering James unable to comprehend the nature of his actions or recognize that they are contrary to the law at the time of the event.",,,
84," a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law.","Sarah, diagnosed with severe mental illness, enters a shopping mall convinced a common item is magical. She causes panic by waving it, leading to her detention. Her actions highlight the impact of unsound mind on behavior and the need for understanding in society.",,,
84," a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law.","Consider a situation where an individual, due to a severe and temporary episode of mental illness, is unable to understand the nature of their actions. During this period, they engage in an activity that would typically be considered an offense, such as breaking a window in a fit of confusion. However, due to the person's unsoundness of mind at that specific time, they lack the capacity to comprehend the nature of their act or recognize that it is wrong or against the law. In such a case, the legal system may recognize that the individual is not criminally responsible for their actions.",,,
85,Act of a person incapable of judgment by reason of intoxication caused against his will," Mark unknowingly consumes a drink spiked with a potent substance, causing him to be incapable of judgment due to intoxication against his will during a social gathering.",,,
85,Act of a person incapable of judgment by reason of intoxication caused against his will,"Sophie attends a party where someone intentionally slips a substance into her beverage, rendering her incapable of judgment by reason of intoxication against her will.",,,
85,Act of a person incapable of judgment by reason of intoxication caused against his will,"At a bar, James unintentionally consumes a drink with a substance added without his knowledge, leading to his incapacity of judgment due to intoxication against his will.",,,
85,Act of a person incapable of judgment by reason of intoxication caused against his will,"Mark, against his will, ingests a spiked drink at a party. As a result, he becomes heavily intoxicated and loses the ability to make reasoned judgments. In this vulnerable state, he unwittingly engages in disruptive behavior, emphasizing the importance of consent and responsible conduct in social settings.",,,
85,Act of a person incapable of judgment by reason of intoxication caused against his will,"John attends a party where someone slips a powerful drug into his drink without his knowledge. As a result, John becomes severely intoxicated and incapable of judgment. Any actions he takes during this state may be considered exempt from legal consequences due to his involuntary intoxication.",,,
86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,"Intoxicated at a party, David, without the required intent or knowledge, accidentally damages property, committing an offense due to his impaired state.",,,
86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,"While under the influence, Sophie unintentionally discloses confidential information at work, committing an offense that requires a specific intent or knowledge.",,,
86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,"Emma, lacking the required intent or knowledge, inadvertently trespasses onto private property, committing an offense during her intoxicated state.",,,
86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,"Jake, heavily intoxicated, attends a party. In his impaired state, he mistakenly believes his friend's car is his own and decides to take it for a joyride. Unaware of the consequences, he commits a crime of theft, emphasizing the legal challenge of determining intent or knowledge when offenses are committed under the influence of alcohol.",,,
86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,"Sarah, under the influence of alcohol she consumed unknowingly, unintentionally damages valuable property while attempting to find her way home. Her actions, though constituting an offense that typically requires intent or knowledge, may be considered differently due to her state of intoxication.",,,
87,Act not intended and not known to be likely to cause death or grievous hurt done by consent,"Mark, with consent, participates in a combat sport where he unintentionally causes minor injuries to his opponent, as the act was neither intended nor known to be likely to cause death or grievous hurt.",,,
